Measurement results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmphiphileAbsorbanceFM2.skax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2024 3:58:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance Spectrum 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength: 350-700 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,ETOH0001 (A01),ETOH0009 (A02),ETOH0017 (A03),50ETOH0001 (A04),50ETOH0009 (A05),50ETOH0017 (A06),IPA0001 (A07),IPA0009 (A08),IPA0017 (A09),50IPA0001 (A10),50IPA0009 (A11),50IPA0017 (A12),ETOH0002 (B01),ETOH0010 (B02),ETOH0018 (B03),50ETOH0002 (B04),50ETOH0010 (B05),50ETOH0018 (B06),IPA0002 (B07),IPA0010 (B08),IPA0018 (B09),50IPA0002 (B10),50IPA0010 (B11),50IPA0018 (B12),ETOH0003 (C01),ETOH0011 (C02),ETOH0019 (C03),50ETOH0003 (C04),50ETOH0011 (C05),50ETOH0019 (C06),IPA0003 (C07),IPA0011 (C08),IPA0019 (C09),50IPA0003 (C10),50IPA0011 (C11),50IPA0019 (C12),ETOH0004 (D01),ETOH0012 (D02),ETOH0020 (D03),50ETOH0004 (D04),50ETOH0012 (D05),50ETOH0020 (D06),IPA0004 (D07),IPA0012 (D08),IPA0020 (D09),50IPA0004 (D10),50IPA0012 (D11),50IPA0020 (D12),ETOH0005 (E01),ETOH0013 (E02),ETOH0021 (E03),50ETOH0005 (E04),50ETOH0013 (E05),50ETOH0021 (E06),IPA0005 (E07),IPA0013 (E08),IPA0021 (E09),50IPA0005 (E10),50IPA0013 (E11),50IPA0021 (E12),ETOH0006 (F01),ETOH0014 (F02),ETOH0022 (F03),50ETOH0006 (F04),50ETOH0014 (F05),50ETOH0022 (F06),IPA0006 (F07),IPA0014 (F08),IPA0022 (F09),50IPA0006 (F10),50IPA0014 (F11),50IPA0022 (F12),ETOH0007 (G01),ETOH0015 (G02),ETOH0023 (G03),50ETOH0007 (G04),50ETOH0015 (G05),50ETOH0023 (G06),IPA0007 (G07),IPA0015 (G08),IPA0023 (G09),50IPA0007 (G10),50IPA0015 (G11),50IPA0023 (G12),ETOH0008 (H01),ETOH0016 (H02),ETOH0024 (H03),50ETOH0008 (H04),50ETOH0016 (H05),50ETOH0024 (H06),IPA0008 (H07),IPA0016 (H08),IPA0024 (H09),50IPA0008 (H10),50IPA0016 (H11),50IPA0024 (H12),,,,,,,
350,0.4545,0.1943,0.2300,0.2432,0.2602,0.2364,0.1997,0.1270,0.2214,0.1742,0.2506,0.2925,0.2165,0.2307,0.1980,0.2755,0.2698,0.2099,0.1719,0.1559,0.2345,0.2910,0.2522,0.2532,0.2452,0.2436,0.2445,0.2758,0.2591,0.2085,0.1995,0.2016,0.2477,0.2596,0.2146,0.2355,0.2317,0.2334,0.2537,0.2158,0.2260,0.2057,0.2050,0.2583,0.2291,0.1947,0.1946,0.1931,0.2547,0.2316,0.1931,0.2267,0.2382,0.2283,0.2198,0.2385,0.2676,0.2398,0.2427,0.1554,0.2123,0.2323,0.2521,0.2752,0.2599,0.2252,0.1980,0.2236,0.2239,0.2406,0.2024,0.1716,0.2014,0.2641,0.1997,0.2549,0.2416,0.2177,0.1958,0.2292,0.1795,0.2463,0.2272,0.1867,0.2293,0.1829,0.2216,0.2663,0.2302,0.2075,0.2167,0.1920,0.2407,0.1682,0.2206,0.2184,,,,,,,
360,0.4261,0.1783,0.2117,0.2245,0.2416,0.2191,0.1834,0.1151,0.2031,0.1597,0.2308,0.2726,0.1994,0.2127,0.1815,0.2558,0.2508,0.1944,0.1580,0.1423,0.2161,0.2689,0.2329,0.2338,0.2268,0.2246,0.2263,0.2551,0.2398,0.1926,0.1836,0.1844,0.2279,0.2401,0.1974,0.2171,0.2139,0.2159,0.2344,0.1987,0.2089,0.1897,0.1890,0.2389,0.2103,0.1790,0.1790,0.1767,0.2343,0.2136,0.1773,0.2096,0.2207,0.2122,0.2024,0.2199,0.2466,0.2213,0.2246,0.1417,0.1951,0.2139,0.2331,0.2538,0.2414,0.2080,0.1812,0.2060,0.2059,0.2211,0.1855,0.1556,0.1841,0.2446,0.1834,0.2353,0.2239,0.2019,0.1802,0.2113,0.1649,0.2274,0.2091,0.1706,0.2108,0.1672,0.2036,0.2458,0.2122,0.1918,0.1997,0.1757,0.2214,0.1540,0.2032,0.2000,,,,,,,
